Commit Hash,File Name,Method Name,Method Java,Commit Link
4a596eda3437b6e7bf3018170d1187badddfe81b,BCrypt.java,gensalt,"	public static String gensalt(int log_rounds, SecureRandom random) {
		StringBuffer rs = new StringBuffer();
		byte rnd[] = new byte[BCRYPT_SALT_LEN];

		random.nextBytes(rnd);

		rs.append(""$2a$"");
		if (log_rounds < 10)
			rs.append(""0"");
		rs.append(Integer.toString(log_rounds));
		rs.append(""$"");
		rs.append(encode_base64(rnd, rnd.length));
		return rs.toString();
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BCrypt.java,gensalt,"	public static String gensalt(int log_rounds) {
		return gensalt(log_rounds, new SecureRandom());
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BCrypt.java,gensalt,"	public static String gensalt() {
		return gensalt(GENSALT_DEFAULT_LOG2_ROUNDS);
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BCrypt.java,checkpw,"	public static boolean checkpw(String plaintext, String hashed) {
		return (hashed.compareTo(hashpw(plaintext, hashed)) == 0);
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileContents,"    public static String getFileContents(File f, boolean t) throws FileNotFoundException {
        FileInputStream in;
        try {
            in = new FileInputStream(f);
        } catch (FileNotFoundException e) {
            if (t) throw e;
            return null;
        }
        return getStreamContents(in);
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileContents,"    public static String getFileContents(File f) {
        try {
            return getFileContents(f, false);
        } catch (FileNotFoundException e) {
            // won't ever get here.
        }  
        return null;
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getBinaryFileContents,"    public static String getBinaryFileContents(File f) {
        FileInputStream in;
        try {
            in = new FileInputStream(f);
        } catch (FileNotFoundException e) {
            e.printStackTrace();
            return null;
        }

        return getBinaryStreamContents(in);
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getBinaryStreamContents,"    public static String getBinaryStreamContents(InputStream in) {
        StringBuilder out = new StringBuilder();
        byte[] b = new byte[4096];
        try {
            for (int n; (n = in.read(b)) != -1 ;) {
                out.append(new String(b, 0, 0, n));
            }
        } catch (IOException e) {
            e.printStackTrace();
            return null;
        }
        return out.toString();
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getStreamContents,"    public static String getStreamContents(InputStream instream) {
        InputStreamReader in = new InputStreamReader(instream, java.nio.charset.Charset.forName(""UTF-8""));
        StringBuilder out = new StringBuilder();

        char[] b = new char[4096];
        try {
            for (int n; (n = in.read(b)) != -1; ){
                out.append(b, 0, n);
            }
            in.close();
        } catch (IOException e) {
            e.printStackTrace();
            return null;
        }
        return out.toString();
    }        ",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getBinaryFileContents,"    public static String getBinaryFileContents(String filename) {
        return getBinaryFileContents(new File(filename));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileContents,"    public static String getFileContents(String filename) {
        return getFileContents(new File(filename));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileContents,"    public static String getFileContents(String filename, boolean t) throws FileNotFoundException {
        return getFileContents(new File(filename), t);
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getStreamBytes,"    public static byte[] getStreamBytes(InputStream instream) {
        byte[] b = new byte[8192];
        ByteArrayOutputStream baos = new ByteArrayOutputStream(16384);
        try {
            for (int n; (n = instream.read(b)) != -1;) {
                baos.write(b, 0, n);
            }
            instream.close();
        } catch (IOException e) {
            e.printStackTrace();
            return null;
        }
        return baos.toByteArray();
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getReaderString,"    public static String getReaderString(BufferedReader reader) {
      StringBuffer out = new StringBuffer();
      char[] c = new char[8192];
      try {
        for (int n; (n = reader.read(c, 0, c.length)) != -1;) {
          out.append(c, 0, n);
        }
        reader.close();
      } catch (IOException e) {
        e.printStackTrace();
        return null;
      }
      return out.toString();
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileBytes,"    public static byte[] getFileBytes(File f) {
        try {
            return getStreamBytes(new FileInputStream(f));",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getFileBytes,"    public static byte[] getFileBytes(String filename) {
        return getFileBytes(new File(filename));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getUnicodeFile,"    public static String getUnicodeFile(File f) throws FileNotFoundException {
            return getReaderString(new BufferedReader(new UnicodeReader(new FileInputStream(f), null)));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getUnicodeFile,"    public static String getUnicodeFile(String filename) throws FileNotFoundException {
            return getUnicodeFile(new File(filename));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,stringFromUnicode,"    public static String stringFromUnicode(byte[] bytes) {
            return getReaderString(new BufferedReader(new UnicodeReader(new ByteArrayInputStream(bytes), null)));
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getDefaultEncoding,"       public String getDefaultEncoding() {
          return defaultEnc;
       }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,getEncoding,"       public String getEncoding() {
          if (internalIn2 == null) return null;
          return internalIn2.getEncoding();
       }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,init,"       protected void init() throws IOException {
          if (internalIn2 != null) return;

          String encoding;
          byte bom[] = new byte[BOM_SIZE];
          int n, unread;
          n = internalIn.read(bom, 0, bom.length);

          if ( (bom[0] == (byte)0x00) && (bom[1] == (byte)0x00) &&
                      (bom[2] == (byte)0xFE) && (bom[3] == (byte)0xFF) ) {
             encoding = ""UTF-32BE"";
             unread = n - 4;
          } else if ( (bom[0] == (byte)0xFF) && (bom[1] == (byte)0xFE) &&
                      (bom[2] == (byte)0x00) && (bom[3] == (byte)0x00) ) {
             encoding = ""UTF-32LE"";
             unread = n - 4;
          } else if (  (bom[0] == (byte)0xEF) && (bom[1] == (byte)0xBB) &&
                (bom[2] == (byte)0xBF) ) {
             encoding = ""UTF-8"";
             unread = n - 3;
          } else if ( (bom[0] == (byte)0xFE) && (bom[1] == (byte)0xFF) ) {
             encoding = ""UTF-16BE"";
             unread = n - 2;
          } else if ( (bom[0] == (byte)0xFF) && (bom[1] == (byte)0xFE) ) {
             encoding = ""UTF-16LE"";
             unread = n - 2;
          } else {
             // Unicode BOM mark not found, unread all bytes
             encoding = defaultEnc;
             unread = n;
          }    
          //System.out.println(""read="" + n + "", unread="" + unread);

          if (unread > 0) internalIn.unread(bom, (n - unread), unread);

          // Use given encoding
          if (encoding == null) {
             internalIn2 = new InputStreamReader(internalIn);",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,close,"       public void close() throws IOException {
          init();
          internalIn2.close();
       }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,BetterFile.java,read,"       public int read(char[] cbuf, int off, int len) throws IOException {
          init();
          return internalIn2.read(cbuf, off, len);
       }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,initCompilerArgs,"	public void initCompilerArgs(String... args) {
	    compilerArgs = new ArrayList<String>();
	    for(String a : args) compilerArgs.add(a);
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,compile,"	public boolean compile(String... sourceFiles) {
	    sourceFileList = new ArrayList<String>();
	    for(String a : sourceFiles) sourceFileList.add(a);
	    
	    sourceFileMap.clear();
	    outputFileMap.clear();
	    
	    File tempDir = makeTemporaryDir();
	    try {
		List<String> argsToPass = new ArrayList<String>();",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,recompile,"	public ScalaSourceClassLoader recompile() {
	    ScalaSourceClassLoader sscl = new ScalaSourceClassLoader(getParent());
	    sscl.initCompilerArgs(compilerArgs.toArray(new String[0]));
	    sscl.compile(sourceFileList.toArray(new String[0]));
	    return sscl;
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,isSuccessfulCompile,"	public boolean isSuccessfulCompile() {
	    return successfulCompile;
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,isUpToDate,"	public boolean isUpToDate() {
	    for(Map.Entry<File,Long> entry : sourceFileMap.entrySet()) {
		long mod = entry.getKey().lastModified();
		if (mod == 0 || mod > entry.getValue()) {
		    return false;
		}
	    }
	    return true;
	}",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,loadClass,"	@Override protected synchronized Class<?> loadClass(String name,
							    boolean resolve)
	    throws ClassNotFoundException {
	    
	    // Based on java.lang.ClassLoader.loadClass(String,boolean)
	    
	    // First, check if the class has already been loaded
	    Class<?> c = findLoadedClass(name);
	    if (c == null) {
		String fileName = name.replace('.','/')+"".class"";
		if (outputFileMap.containsKey(fileName)) {
		    // define it ourselves
		    byte b[] = outputFileMap.get(fileName);
		    c = defineClass(name, b, 0, b.length);
		}
	    }
	    if (c != null) {
		if (resolve) {",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,readStreamFully,"    private static byte[] readStreamFully(InputStream in) throws IOException {
	InputStream from = new BufferedInputStream(in);
	ByteArrayOutputStream to = new ByteArrayOutputStream(in.available());
	ferry(from, to);
	return to.toByteArray();
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,ferry,"    private static void ferry(InputStream from, OutputStream to)
	throws IOException {
	
	byte[] buf = new byte[1024];
	boolean done = false;
	while (! done) {
	    int numRead = from.read(buf);
	    if (numRead < 0) {
		done = true;
	    }
	    else {
		to.write(buf, 0, numRead);
	    }
	}
	from.close();
	to.close();	
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,classForName,"    private static Class<?> classForName(String name) {
	try {
	    return Class.forName(name);",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,deleteRecursive,"    static boolean deleteRecursive(File f) {
	if(f.exists()) {
	    File[] files = f.listFiles();
	    for(File g : files) {
		if(g.isDirectory()) {
		    deleteRecursive(g);
		}
		else {
		    g.delete();
		}
	    }
	}
	return f.delete();
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,getFileBytes,"    static byte[] getFileBytes(File f) {
	try {
	    return readStreamFully(new FileInputStream(f));",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,listRecursive,"    static List<String> listRecursive(File dir) {
	List<String> L = new ArrayList<String>();
	listRecursive(dir, """", L);
	return L;
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,listRecursive,"    static void listRecursive(File dir, String prefix, Collection<String> drop) {
	for(File f : dir.listFiles()) {
	    if (f.isDirectory()) {",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,makeTemporaryDir,"    static File makeTemporaryDir() {
	try {
	    File f = File.createTempFile(""ajclsreload"", """").getAbsoluteFile();",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ClassReload.java,invokeFSC,"    private static int invokeFSC(String[] args) {
	try {
	    Class<?> fsc =",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,hasExpired,"        public boolean hasExpired(long timeStamp, long now, int rank) {
          return now - timeStamp > maxAgeMillis;
        }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,clear,"  public synchronized void clear() {
    keyToValue.clear();
    timeToKey.clear();
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,put,"  public synchronized void put(K key, V value) {
    TimeStampedValue old = keyToValue.get(key);
    if (old != null) {
      timeToKey.remove(old.getTimeStamp());
    }
    TimeStampedValue newVal = new TimeStampedValue(value);
    keyToValue.put(key, newVal);
    timeToKey.put(newVal.getTimeStamp(), key);
    checkExpiry();
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,touch,"  public synchronized void touch(K key) {
    TimeStampedValue old = keyToValue.get(key);
    if (old != null) {
      put(key, old.getValue());",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,remove,"  public synchronized void remove(Object key) {
    TimeStampedValue old = keyToValue.get(key);
    if (old != null) {
      keyToValue.remove(key);",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,get,"  public synchronized V get(Object key) {
    if (keyToValue.containsKey(key)) {
      return keyToValue.get(key).getValue();",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,containsKey,"  public synchronized boolean containsKey(Object key) {
    return keyToValue.containsKey(key);
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,checkExpiry,"  public synchronized void checkExpiry() {
    while (timeToKey.size() > 0) {
      long oldestTime = timeToKey.firstKey();",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,listAllKeys,"  public synchronized List<K> listAllKeys() {
    List<K> keyList = new java.util.ArrayList<K>(timeToKey.size());
    for(Map.Entry<Long,K> entry : timeToKey.entrySet()) {
      keyList.add(entry.getValue());
    }
    return Collections.unmodifiableList(keyList);
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,hasExpired,"  private boolean hasExpired(long time, int rank) {
    return policy.hasExpired(time, System.currentTimeMillis(), rank);
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,nowTimeStamp,"  private long nowTimeStamp() {
    // return ""now"", but unique
    long now = System.currentTimeMillis();
    if (now <= lastTimeStamp) {
      now = lastTimeStamp+1;
    }
    lastTimeStamp = now;
    return now;
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,setTimeStamp,"    public void setTimeStamp(long ts) {
      timeStamp = ts;
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,getTimeStamp,"    public long getTimeStamp() {
      return timeStamp;
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,getValue,"    public V getValue() {
      return value;
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,toString,"    public String toString() {
      return ""(""+value+"", ""+new Date(timeStamp)+"")"";
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,ExpiringMapping.java,toString,"  public synchronized String toString() {
    return keyToValue.toString();
  }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
4a596eda3437b6e7bf3018170d1187badddfe81b,HttpServletRequestFactory.java,createRequest,"    public static HttpServletRequest createRequest(String uri, Map<String, String> headers,
						   String method, String body) 
	throws java.net.URISyntaxException {
	return new InnerHttpServletRequest(new URI(uri), headers, method, body);
    }",https://www.github.com/ether/pad/commit/4a596eda3437b6e7bf3018170d1187badddfe81b
